Date,Income,Expense,time
19/04/2018,0.0,36.0,14:16:49
19/04/2018,0.0,72.0,09:06:42
17/04/2018,0.0,72.0,06:12:44
16/04/2018,0.0,21.0,13:20:17
16/04/2018,0.0,63.0,17:37:02
16/04/2018,0.0,270.0,11:57:07
16/04/2018,0.0,265.0,09:20:29
16/04/2018,0.0,450.0,11:39:54
15/04/2018,0.0,70.0,09:21:41
15/04/2018,0.0,20.0,19:27:59
15/04/2018,0.0,799.0,07:01:26
15/04/2018,0.0,525.0,10:30:35
15/04/2018,0.0,10.0,17:16:30
15/04/2018,0.0,20.0,09:13:41
15/04/2018,0.0,70.0,18:32:14
14/04/2018,0.0,107.0,08:02:06
14/04/2018,0.0,40.0,00:52:48
14/04/2018,0.0,45.0,16:05:54
14/04/2018,0.0,72.0,23:45:56
13/04/2018,0.0,700.0,11:33:03
13/04/2018,0.0,5000.0,06:25:35
13/04/2018,0.0,5000.0,05:03:13
12/4/2018,0.0,199.0,07:56:52
12/4/2018,0.0,112.0,12:16:07
12/4/2018,0.0,20.0,08:02:43
12/4/2018,0.0,130.0,19:21:50
10/4/2018,0.0,18.0,15:30:22
10/4/2018,0.0,70.0,20:46:25
10/4/2018,0.0,250.0,07:24:57
9/4/2018,0.0,10.0,13:54:24
9/4/2018,0.0,72.0,11:04:31
7/4/2018,0.0,1857.0,00:39:38
7/4/2018,0.0,24.0,20:55:21
7/4/2018,0.0,36.0,14:36:44
7/4/2018,0.0,1000.0,15:42:47
6/4/2018,0.0,24500.0,07:41:25
5/4/2018,0.0,38.0,14:21:53
5/4/2018,0.0,36.0,09:23:44
5/4/2018,0.0,72.0,13:13:58
5/4/2018,0.0,130.0,15:30:29
3/4/2018,0.0,12500.0,04:38:18
3/4/2018,0.0,2000.0,18:01:59
2/4/2018,0.0,20.0,21:54:58
2/4/2018,0.0,149.0,10:18:43
2/4/2018,0.0,24.0,14:13:04
2/4/2018,0.0,20.0,16:30:29
2/4/2018,0.0,36.0,10:38:52
2/4/2018,0.0,2000.0,14:43:08
1/4/2018,345.0,0.0,15:32:49
1/4/2018,0.0,5.9,11:28:05
1/4/2018,0.0,24.78,05:47:48
1/4/2018,345.15,0.0,06:03:06
1/4/2018,0.0,72.0,21:02:20
1/4/2018,0.0,10005.9,10:42:03
31/03/2018,0.0,45.0,11:34:41
31/03/2018,0.0,244.0,13:36:25
31/03/2018,64636.0,0.0,07:40:47
31/03/2018,0.0,419.0,14:49:19
31/03/2018,0.0,10.0,08:59:52
31/03/2018,589.0,0.0,18:29:16
31/03/2018,0.0,30.0,21:04:30
30/03/2018,0.0,25.0,05:46:31
30/03/2018,0.0,20.0,15:20:58
